subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14548R,tpm,1.5,0.9375517032805489,0.9836420824386022,0.9818751299345622,0.11519662778433845,0.05895809937402135,0.06206073548472897,-6.476875959387252,-3.0982513089321073,-2.4490155713624717
14548R,tpm,1.6,0.9478277754496391,0.9812966155664935,0.9789381030335296,0.1118987662670442,0.0669985989707356,0.07109750538487875,-6.440679705147705,-3.1822409703246186,-2.519906738952191
14548R,tpm,1.7000000000000002,0.9554871796771365,0.9778753935585768,0.9750354646466909,0.1094594329888358,0.07716998488499041,0.08197329300407802,-6.507216571382386,-3.273212265842524,-2.595618527878232
14548R,tpm,1.8,0.9620739439142476,0.9694407243123435,0.966296666136948,0.10666684970376579,0.09574853892513,0.10055346915405569,-6.533676188674064,-3.3852745411360665,-2.6864232351047046
14548R,tpm,1.9000000000000001,0.9674399407509783,0.9660996893815514,0.9576986587543407,0.10404912157389787,0.10616898455120552,0.11859677889462976,-6.51338652649355,-3.4828574242867743,-2.7795301199706595
14548R,tpm,2.0,0.9636467578471358,0.9607163002733857,0.9474626332826003,0.11545354963238286,0.12001676230048738,0.13879373591669492,-6.699371086682416,-3.5891710881742243,-2.8776049031929385
14548R,tpm,2.1,0.9679885278754311,0.9504520508057701,0.9336808500453226,0.11351042916903675,0.14121986245099374,0.16338132652404824,-6.750308943433949,-3.70956759168366,-2.9819173278388953
14548R,tpm,2.2,0.9705278907193219,0.9415567366578741,0.9192507399987099,0.1138759328545702,0.16035908415345612,0.18849316804745855,-6.840655090337521,-3.8302459452137434,-3.0889442932502105
14548R,tpm,2.3000000000000003,0.9729699525581409,0.9284738076746986,0.9020543023015867,0.11380640462011557,0.18512959556989728,0.21663867032570536,-6.918875473004161,-3.9590052214075597,-3.1989921147865927
14548R,tpm,2.4000000000000004,0.9690493102090815,0.9135134335172045,0.8830924774425811,0.1268635435863171,0.21206841955145941,0.24656015843979645,-7.0833335463470055,-4.091576545365896,-3.3107243720484947
14548R,tpm,2.5,0.970964639712302,0.895874212030594,0.8642166608683997,0.12779824005764037,0.24201395772308354,0.2763659318033341,-7.172854276521985,-4.226969723158167,-3.4236660599518367
14548R,tpm,2.6,0.9701890638415823,0.8809833000273645,0.8439315502412827,0.1344816019738026,0.268707023819747,0.30770363369150416,-7.303198043654581,-4.363951809648279,-3.53686936720691
14548R,tpm,2.7,0.9639575772646268,0.8637392219131362,0.8243668925046564,0.15335475484911168,0.29817806374996475,0.33852710768963756,-7.478516346804333,-4.502044911846952,-3.6509102677337757
14548R,tpm,2.8000000000000003,0.9644070505845825,0.84687179539122,0.8022187205364931,0.15784506514551624,0.3273984471956854,0.37208452752627963,-7.598876353101496,-4.641325980000992,-3.7628573023237855
14548R,tpm,2.9000000000000004,0.9605086766223654,0.8269479868042136,0.773258900262462,0.17200460196482462,0.36006221668739924,0.4121490918183679,-7.760998933301946,-4.7789302570006456,-3.865389152467622
14548R,mc1,0.5,0.9549301079560852,0.9757220815199206,0.9888398712415454,0.03625656517029042,0.02661026034575725,0.018041722629918974,-4.121146110895205,-2.584162434205279,-1.9290799643481045
14548R,mc1,0.6000000000000001,0.9617870881829871,0.9730211355263123,0.9926870124148715,0.03909624627353024,0.032850488260412564,0.01710320155424501,-4.408933320240838,-2.7737170720108977,-1.9561380685208094
14548R,mc1,0.7000000000000001,0.9659062863014253,0.9814792702054453,0.9942224802470255,0.04230744578883447,0.031182339780942078,0.017416078405632588,-4.667565917533681,-2.8185952210978535,-1.9961469456430017
14548R,mc1,0.8,0.9642598321932669,0.9858824985813172,0.993777275364826,0.04881268128040285,0.030678441310560495,0.02036782533830288,-4.951610065500818,-2.878923128252764,-2.0530075786204978
14548R,mc1,0.9,0.9669940600788647,0.9836550852027772,0.9944732083882423,0.05218227710146115,0.03672132174596777,0.02135322710903388,-5.177034799770405,-2.9999533952448036,-2.090917297429171
14548R,mc1,1.0,0.9518400744252016,0.9843197813021135,0.9936856178953154,0.06939735266910309,0.03959825589326709,0.02512843430197039,-5.517983445271717,-3.092166369116205,-2.142799984986972
14548R,mc1,1.1,0.961615468680383,0.9863360957252569,0.9929925971083893,0.06763251177444964,0.04035197549158586,0.028897211709498084,-5.625726356101604,-3.1558420225044292,-2.1928393603737693
14548R,mc1,1.2000000000000002,0.9630690877334525,0.9869756100845188,0.9911062751992117,0.07190499090686739,0.04270145885291605,0.035286278807920776,-5.835915744532875,-3.2282639808613682,-2.252330069062341
14548R,mc1,1.3,0.9688803872967476,0.9883775176240504,0.9893088797931281,0.07111214428125907,0.043458639947562994,0.04168101526614596,-5.946128470767009,-3.2809535554715126,-2.311984379750187
14548R,mc1,1.4000000000000001,0.9744844561123726,0.9897414098734129,0.9864346428792333,0.06901377779610772,0.043759991129221854,0.05032096974300429,-5.98937522198552,-3.3237176836126836,-2.3787485001618736
14548R,mc1,1.5,0.9751869240159079,0.9808228389177326,0.9802319011833512,0.07261390119405228,0.06383687594158904,0.06481296936985592,-6.14077400686904,-3.4477530973000743,-2.4609926871805303
14548R,mc1,1.6,0.978246777772235,0.9773593390927509,0.9739850166935795,0.0722549191035701,0.0737140327057181,0.07901642863063867,-6.226144080840508,-3.552065047932327,-2.5460760779839613
14548R,mc1,1.7000000000000002,0.980860706361936,0.9784126732903938,0.9643018585038298,0.07177506440897374,0.07622721805673431,0.09802423043676124,-6.299723599727604,-3.6217125381428943,-2.6418866783099246
14548R,mc1,1.8,0.9822345814065611,0.9679616516532278,0.953980733513004,0.07300428465529854,0.09803828080924114,0.11749799975360832,-6.394296272710264,-3.751571376227552,-2.741708521538928
14548R,mc1,1.9000000000000001,0.983687975437817,0.9648738108429185,0.9410951068119772,0.07364610082635659,0.1080715406327196,0.13994955157133482,-6.474616096286884,-3.859657642896445,-2.8476150691492887
14548R,mc1,2.0,0.9858370445327765,0.9638656056763002,0.9299820666260197,0.0720630534415192,0.11510550776869982,0.16022871851552084,-6.496790212323205,-3.95695159511826,-2.9541552430648097
14548R,mc1,2.1,0.9876414199917899,0.955716020118326,0.9214188561319039,0.07052891926936514,0.13350768480643072,0.1778451866284509,-6.513221904475508,-4.08309087358115,-3.05980957174811
14548R,mc1,2.2,0.9891532387549407,0.9488069734305825,0.908819625979012,0.06908382551528366,0.1500830826260699,0.20029818913119218,-6.527312711192692,-4.208680583775758,-3.1708213292878438
